Preferred Label,Class ID,Parents,has part,Class ID2,,,,,,,,,,,
actin filament bundle of stereocilium,GO:0098860,GO:0097518|GO:0098859|GO:0032420,,GO:0098860,,,,,,,,,,,
actin filament of cell cortex of cell tip,GO:1903145,GO:0005884|GO:0051285,,GO:1903145,,,,,,,,,,,
actin rod,GO:0031002,GO:0032432,,GO:0031002,,,,,,,,,,,
actin tubule,GO:0031003,GO:0031002|GO:0032432,,GO:0031003,,,,,,,,,,,
activator ecdysone receptor complex,GO:0008232,GO:0008230,,GO:0008232,,,,,,,,,,,
active sex chromosome,GO:0098579,GO:0000803,,GO:0098579,,,,,,,,,,,
activin A complex,GO:0043509,GO:0048180,,GO:0043509,,,,,,,,,,,
activin AB complex,GO:0048183,GO:0048180,,GO:0048183,,,,,,,,,,,
activin B complex,GO:0043510,GO:0048180,,GO:0043510,,,,,,,,,,,
activin complex,GO:0048180,GO:0005615|GO:0032991,,GO:0048180,,,,,,,,,,,
activin receptor complex,GO:0048179,GO:1902554|GO:0098802,,GO:0048179,,,,,,,,,,,
activin responsive factor complex,GO:0032444,GO:0090575,,GO:0032444,,,,,,,,,,,
actomyosin,GO:0042641,GO:0015629|GO:0110165,,GO:0042641,,,,,,,,,,,
actomyosin contractile ring,GO:0005826,GO:0070938|GO:0032153|GO:0030864,,GO:0005826,,,,,,,,,,,
actomyosin contractile ring actin filament,GO:1903144,GO:0005884|GO:0005826,,GO:1903144,,,,,,,,,,,
"actomyosin, myosin complex part",GO:0042642,GO:0042641|GO:0016459,,GO:0042642,,,,,,,,,,,
acyl-CoA ceramide synthase complex,GO:0061576,GO:1902494,,GO:0061576,,,,,,,,,,,
ADA complex,GO:0140671,GO:0070461,,GO:0140671,,,,,,,,,,,
adenylyltransferase complex,GO:1902503,GO:0061695,,GO:1902503,,,,,,,,,,,
adherens junction,GO:0005912,GO:0005911,,GO:0005912,,,,,,,,,,,
ADPG pyrophosphorylase complex,GO:0030929,GO:0140535|GO:1902494,,GO:0030929,,,,,,,,,,,
adrenomedullin receptor complex,GO:1903143,GO:1903439|GO:0038037,,GO:1903143,,,,,,,,,,,
adventitious septum,GO:0000933,GO:0030428,,GO:0000933,,,,,,,,,,,
aggresome,GO:0016235,GO:0016234,,GO:0016235,,,,,,,,,,,
AIM2 inflammasome complex,GO:0097169,GO:0061702,,GO:0097169,,,,,,,,,,,
Aim21-Tda2 complex,GO:0110131,GO:0030479|GO:0032991,,GO:0110131,,,,,,,,,,,
AIP1-IRE1 complex,GO:1990597,GO:0032991,,GO:1990597,,,,,,,,,,,
alae of collagen and cuticulin-based cuticle extracellular matrix,GO:0060111,GO:0060102|GO:0110165,,GO:0060111,,,,,,,,,,,
aleurone grain,GO:0033095,GO:0031410,,GO:0033095,,,,,,,,,,,
aleurone grain lumen,GO:0034422,GO:0033095|GO:0060205,,GO:0034422,,,,,,,,,,,
aleurone grain membrane,GO:0032578,GO:0033095|GO:0098588|GO:0030659,,GO:0032578,,,,,,,,,,,
alkanesulfonate monooxygenase complex,GO:1990201,GO:0005829|GO:1990204,,GO:1990201,,,,,,,,,,,
alkyl hydroperoxide reductase complex,GO:0009321,GO:0005737|GO:0032991,,GO:0009321,,,,,,,,,,,
alpha DNA polymerase:primase complex,GO:0005658,GO:0043601|GO:0055029|GO:0042575,,GO:0005658,,,,,,,,,,,
alpha-beta T cell receptor complex,GO:0042105,GO:0042101,,GO:0042105,,,,,,,,,,,
alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex,GO:0061694,GO:0061695,,GO:0061694,,,,,,,,,,,
alpha-heterochromatin,GO:0005723,GO:0005721|GO:0005701,,GO:0005723,,,,,,,,,,,
alpha-ketoacid dehydrogenase complex,GO:0045240,GO:1990204,,GO:0045240,,,,,,,,,,,
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",GO:0005946,GO:0005737|GO:1990234,,GO:0005946,,,,,,,,,,,
alpha1-beta1 integrin-alpha3(VI) complex,GO:0070465,GO:0098797,,GO:0070465,,,,,,,,,,,
alpha1-beta1 integrin-tissue transglutaminase complex,GO:0071091,GO:0098797|GO:1902494,,GO:0071091,,,,,,,,,,,
alpha1-beta1 integrin-tyrosine-protein phosphatase non-receptor type 2 complex,GO:0071124,GO:0098797,,GO:0071124,,,,,,,,,,,
alpha11-beta1 integrin-collagen type I complex,GO:0071087,GO:0098797,,GO:0071087,,,,,,,,,,,
alpha2-beta1 integrin-alpha3(VI) complex,GO:0070466,GO:0098797,,GO:0070466,,,,,,,,,,,
alpha2-beta1 integrin-CD47 complex,GO:0071084,GO:0098797,,GO:0071084,,,,,,,,,,,
alpha2-beta1 integrin-chondroadherin complex,GO:0071079,GO:0098797,,GO:0071079,,,,,,,,,,,
alpha3-beta1 integrin-basigin complex,GO:0071080,GO:0098797,,GO:0071080,,,,,,,,,,,
alpha3-beta1 integrin-CD151 complex,GO:0071058,GO:0098797,,GO:0071058,,,,,,,,,,,
alpha3-beta1 integrin-CD63 complex,GO:0071081,GO:0098797,,GO:0071081,,,,,,,,,,,
alpha3-beta1 integrin-thrombospondin complex,GO:0071095,GO:0098797,,GO:0071095,,,,,,,,,,,
alpha3-beta1 integrin-tissue transglutaminase complex,GO:0071092,GO:0098797|GO:1902494,,GO:0071092,,,,,,,,,,,
alpha4-beta1 integrin-CD47 complex,GO:0071120,GO:0098797,,GO:0071120,,,,,,,,,,,
alpha4-beta1 integrin-CD53 complex,GO:0070518,GO:0098797,,GO:0070518,,,,,,,,,,,
alpha4-beta1 integrin-CD63 complex,GO:0070519,GO:0098797,,GO:0070519,,,,,,,,,,,
alpha4-beta1 integrin-CD81 complex,GO:0070520,GO:0098797,,GO:0070520,,,,,,,,,,,
alpha4-beta1 integrin-CD82 complex,GO:0070521,GO:0098797,,GO:0070521,,,,,,,,,,,
alpha4-beta1 integrin-JAM2 complex,GO:0071101,GO:0098797,,GO:0071101,,,,,,,,,,,
alpha4-beta1 integrin-paxillin complex,GO:0071102,GO:0098797,,GO:0071102,,,,,,,,,,,
alpha4-beta1 integrin-thrombospondin-1 complex,GO:0071069,GO:0098797,,GO:0071069,,,,,,,,,,,
alpha4-beta1 integrin-thrombospondin-2 complex,GO:0071070,GO:0098797,,GO:0071070,,,,,,,,,,,
alpha4-beta4 integrin-EMILIN-1 complex,GO:0071112,GO:0098797,,GO:0071112,,,,,,,,,,,
alpha5-beta1 integrin-endostatin complex,GO:0071115,GO:0098797,,GO:0071115,,,,,,,,,,,
alpha5-beta1 integrin-fibronectin-NOV complex,GO:0071117,GO:0098797,,GO:0071117,,,,,,,,,,,
alpha5-beta1 integrin-fibronectin-tissue transglutaminase complex,GO:0071093,GO:0098797|GO:1902494,,GO:0071093,,,,,,,,,,,
alpha5-beta1 integrin-LPP3 complex,GO:0071130,GO:0098797,,GO:0071130,,,,,,,,,,,
alpha5-beta1 integrin-osteopontin complex,GO:0071128,GO:0098797,,GO:0071128,,,,,,,,,,,
alpha5-beta1 integrin-tissue transglutaminase complex,GO:0071088,GO:0098797|GO:1902494,,GO:0071088,,,,,,,,,,,
alpha5-beta5-fibronectin-SFRP2 complex,GO:0071138,GO:0098797,,GO:0071138,,,,,,,,,,,
alpha6-beta1 integrin-CD151 complex,GO:0071059,GO:0098797,,GO:0071059,,,,,,,,,,,
alpha6-beta1 integrin-CYR61 complex,GO:0071116,GO:0098797,,GO:0071116,,,,,,,,,,,
alpha6-beta4 integrin-CD151 complex,GO:0071061,GO:0098797,,GO:0071061,,,,,,,,,,,
alpha6-beta4 integrin-CD9 complex,GO:0071094,GO:0098797,,GO:0071094,,,,,,,,,,,
alpha6-beta4 integrin-Fyn complex,GO:0071098,GO:0098797,,GO:0071098,,,,,,,,,,,
alpha6-beta4 integrin-laminin 5 complex,GO:0070334,GO:0098797,,GO:0070334,,,,,,,,,,,
